"Leeloo", "リールー"
"Drag and drop the key over padlock in order to unlock the Settings", "設定をロック解除するには、鍵を南京錠の上にドラッグアンドドロップします"
"Create a profile!", "プロファイルを作成してください！"
"Choose a profile name or tell us the person who is going to use this application.", "プロファイル名を選択するか、このアプリケーションを使用する人を教えてください。"
"Your Name", "あなたの名前"
"Choose an avatar!", "アバターを選択してください！"
"Choose an avatar for the person who is going to use this AAC application.", "このAACアプリケーションを使用する人のアバターを選択します。"
"Boy", "男の子"
"Girl", "女の子"
"Mixed", "混合"
"Congratulations, $1!", "おめでとう、$1！"
"Your user profile has been completed. You can start using Leeloo AAC app", "ユーザープロフィールが完成しました。 Leeloo AACアプリの使用を開始できます"
"Welcome to", "へようこそ"
"Leeloo AAC", "リールーAAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Leeloo AACをダウンロードしていただき、ありがとうございます。leelooプロファイルの設定を始めましょう。"
"View other sign in options", "他のサインインオプションを表示する"
"Who is using the app?", "誰がアプリを使用していますか？"
"Search cards and phrases...", "カードやフレーズを検索..."
"Unlock Leeloo Premium!", "Leeloo Premiumのロックを解除！"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Leeloo AACの機能は常に無料です。 Leeloo Premiumは、+ 50の支援カードパックを追加で提供しています。"
"Monthly", "毎月"
"Try 3 days for FREE", "3日間無料でお試しください"
"Then $1/year", "その後、$1 /年"
"Lifetime", "一生"
"One-time Payment", "1回払い"
"SAVE $1%", "$1％節約"
"$1/mo", "$1 /月"
"See the packs you will unlock", "ロックを解除するパックを確認してください"
"Scroll the cards right to see all of the premium assistive cards.", "カードを右にスクロールして、すべてのプレミアム支援カードを表示します。"
"$1 cards", "$1カード"
"$1 phrases", "$1フレーズ"
"Start 3 days FREE Trial", "3日間の無料トライアルを開始"
"Cancel anytime without cost", "費用なしでいつでもキャンセル"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "3年間の無料トライアルは、年間プランとこの期間にのみ適用されます。サブスクリプションは無料でキャンセルできます。"
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "何か問題や問題がある場合は、事前に販売者プラットフォームの利用規約を確認してください。問題が発生した場合はご連絡ください。お客様が直面する問題を解決するためにできる限りのことを行います。"
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "月額プランと年額プランは定期的なプランであり、ライフタイムプランはサブスクリプションの1回限りの支払いプランです。自動更新がオフになっている場合を除き、現在の期間が終了すると期間価格が請求されます。"
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "払い戻しはプラットフォームによって処理されます。払い戻しの時間とポリシーは、プラットフォームと登録している市場によって異なる場合があることに注意してください。"
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "アプリの設定の[フィードバックの送信]ページを使用して、偶発的な購入を同日または少なくとも24時間以内に私たちに報告してください。"
"Leeloo Premium", "リーループレミアム"
"Subscribe to get more", "チャンネル登録してもっとゲット"
"Try 3 days for free", "3日間無料でお試しください"
"Next", "次"
"Start", "開始"
"USE", "使用する"
"USING", "使用"
"ADD", "追加"
"REMOVE", "削除する"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "お使いのデバイスは、この言語の音声ドライバーをサポートしていません。 TTS機能を使用するには、音声ドライバーをインストールする必要があります。 「Google TTS」アプリを試して、ドライバーをインストールして管理できます！"
"Confirm Sign Out", "サインアウトを確認"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "ログインしたままにすることができ、毎回アカウントからログアウトする必要がないことに注意してください。"
"Remove Profile", "プロフィールを削除"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "このプロファイルを削除してもよろしいですか？このプロファイルによって作成されたデータも削除されます。"
"OK", "OK"
"Cancel", "キャンセル"
