"Leeloo", "ලීලූ"
"Search cards and phrases...", "කාඩ්පත් සහ වාක්‍ය ඛණ්ඩ සොයන්න ..."
"Unlock Leeloo Premium!", "ලීලූ වාරිකය අගුළු හරින්න!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "ලීලූ ඒඒසී හි ක්‍රියාකාරීත්වය සැමවිටම නොමිලේ වේ. ලීලූ වාරිකය +50 අමතර උපකාරක කාඩ්පත් ලබා දෙයි."
"Monthly", "මාසික"
"Try 3 days for FREE", "නොමිලේ දින 3 ක් උත්සාහ කරන්න"
"Then $1/year", "ඉන්පසු $1 / වසර"
"Lifetime", "ජීවිත කාලය"
"One-time Payment", "එක් වරක් ගෙවීම"
"SAVE $1%", "$1% සුරකින්න"
"$1/mo", "$1 / mo"
"See the packs you will unlock", "ඔබ අගුළු හරින ඇසුරුම් බලන්න"
"Scroll the cards right to see all of the premium assistive cards.", "සියලුම වාරික උපකාරක කාඩ්පත් බැලීමට කාඩ්පත් අනුචලනය කරන්න."
"$1 cards", "$1 කාඩ්පත්"
"$1 phrases", "$1 වාක්‍ය ඛණ්ඩ"
"Start 3 days FREE Trial", "දින 3 නොමිලේ අත්හදා බැලීම ආරම්භ කරන්න"
"Cancel anytime without cost", "වියදමකින් තොරව ඕනෑම වේලාවක අවලංගු කරන්න"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "දින 3 ක් සඳහා නොමිලේ අත්හදා බැලීම වාර්ෂික සැලැස්මට පමණක් අදාළ වන අතර මෙම කාලය තුළ; ඔබට කිසිදු වියදමක් නොමැතිව ඔබගේ දායකත්වය අවලංගු කළ හැකිය."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "විකිණුම්කරුගේ වේදිකාවේ නියමයන් සහ කොන්දේසි සමාලෝචනය කිරීමට වග බලා ගන්න, ඔබට කිසියම් ගැටළුවක් හෝ ගැටළුවක් ඇත්නම් අප අමතන්න, ඔබ මුහුණ දෙන ඕනෑම ගැටළුවක් විසඳීමට අපි හැකි සෑම දෙයක්ම කරන්නෙමු."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "මාසික හා වාර්ෂික සැලසුම් පුනරාවර්තන සැලසුම් වන අතර, ජීවිත කාලය සඳහා වන සැලැස්ම, එක් වරක් ගෙවීමේ සැලැස්මක් වන අතර, දායක මුදල් සඳහා, ස්වයංක්‍රීයව අළුත් කිරීම අක්‍රිය නොකළහොත්, වත්මන් කාල සීමාව අවසන් වන විට ඔබට කාල සීමාව අය කෙරේ."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "මුදල් ආපසු ගෙවීම් වේදිකා විසින් හසුරුවනු ලබන බව මතක තබා ගන්න, මුදල් ආපසු ගෙවීමේ වේලාවන් සහ ප්‍රතිපත්ති ඔබ දායක වන වේදිකාව සහ වෙළඳපොළ සම්බන්ධයෙන් වෙනස් විය හැකිය."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "යෙදුම් සැකසීම්වල 'ප්‍රතිපෝෂණ යවන්න' පිටුව භාවිතා කරමින් කරුණාකර එදිනම හෝ අවම වශයෙන් පැය 24 ක් තුළ අහම්බෙන් මිලදී ගැනීම් අපට වාර්තා කරන්න."
"Leeloo Premium", "ලීලූ වාරිකය"
"Subscribe to get more", "වැඩි විස්තර ලබා ගැනීමට දායක වන්න"
"Try 3 days for free", "නොමිලේ දින 3 ක් උත්සාහ කරන්න"
"Next", "undefined"
"Start", "ආරම්භ කරන්න"
"USE", "භාවිත"
"USING", "undefined"
"ADD", "එකතු කරන්න"
"REMOVE", "ඉවත් කරන්න"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "ඔබගේ භාෂාව මෙම භාෂාව සඳහා හ voice ධාවකයට සහය නොදක්වයි. TTS හැකියාවන් භාවිතා කිරීම සඳහා, ඔබ හ voice ධාවකයක් ස්ථාපනය කළ යුතුය. ධාවක ස්ථාපනය කර කළමනාකරණය කිරීමට ඔබට 'ගූගල් ටීටීඑස්' යෙදුම උත්සාහ කළ හැකිය!"
"Confirm Sign Out", "ඉවත් වීම තහවුරු කරන්න"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "undefined"
"Remove Profile", "undefined"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "ඔබට මෙම පැතිකඩ ඉවත් කිරීමට අවශ්‍ය බව ඔබට විශ්වාසද, මෙම පැතිකඩ විසින් සාදන ලද දත්ත ද ඉවත් කරනු ලැබේ."
"OK", "හරි"
"Cancel", "undefined"
