activities,Activities
dress,Dress
dress_2,My dress is dirty.
dress_3,Can you help me wear my dress?
shoes,Shoes
shoes_2,My shoes are dirty.
shoes_3,Can you help me wear my shoes?
boots,Boots
boots_2,My boots are dirty.
boots_3,Can you help me wear my boots?
sneakers,Sneakers
sneakers_2,I want to wear my sneakers.
sneakers_3,Can you help me wear my sneakers?
slippers,Slippers
slippers_2,I want to wear my slippers.
slippers_3,Can you help me wear my slippers?
belt,Belt
belt_2,I like wearing belt.
belt_3,Can you help me wear my belt?
socks,Socks
socks_2,My socks are dirty.
socks_3,Can you help me wear my socks?
swimsuit,Swimsuit
swimsuit_2,I want to wear my swimsuit.
swimsuit_3,Can you help me wear my swimsuit?
sweater,Sweater
sweater_2,My sweater is dirty.
sweater_3,Can you help me wear my sweater?
scarf,Scarf
scarf_2,I like wearing scarf.
scarf_3,Can you help me wear my scarf?
denim-shorts,Denim shorts
denim-shorts_2,My denim shorts are dirty.
denim-shorts_3,Can you help me wear my denim shorts?
hoodies,Hoodies
hoodies_2,I like wearing hoodies.
hoodies_3,Can you help me wear my hoodie?
swimming-shorts,Swimming shorts
swimming-shorts_2,My swimming shorts are dirty.
swimming-shorts_3,Can you help me wear my swimming shorts?
bow-tie,Bow tie
bow-tie_2,I like wearing bow tie.
bow-tie_3,Can you help me wear my bow tie?
leather-jacket,Leather jacket
leather-jacket_2,I like wearing leather jacket.
leather-jacket_3,Can you help me wear my leather jacket?
bathrobe,Bathrobe
bathrobe_2,I like wearing bathrobe.
bathrobe_3,Can you help me wear my bathrobe?
jumpsuit,Jumpsuit
jumpsuit_2,I like wearing jumpsuit.
jumpsuit_3,Can you help me wear my jumpsuit?
fedora-hat,Fedora hat
fedora-hat_2,I like wearing fedora hat.
fedora-hat_3,Can you help me wear my fedora hat?
t-shirt,T-shirt
t-shirt_2,I like wearing t-shirt.
t-shirt_3,Can you help me wear my t-shirt?
sleeveless,Sleeveless
sleeveless_2,I like wearing sleeveless.
sleeveless_3,Can you help me wear my sleeveless?
boxers,Boxers
boxers_2,I like wearing boxers.
boxers_3,Can you help me wear my boxers?
vest,Vest
vest_2,I like wearing vest.
vest_3,Can you help me wear my vest?
pamela-hat,Pamela hat
pamela-hat_2,I like wearing pamela hat.
pamela-hat_3,Can you help me wear my pamela hat?
high-heels,High heels
high-heels_2,I like wearing high heels.
high-heels_3,Can you help me wear my high heels?
overalls,Overalls
overalls_2,I like wearing overalls.
overalls_3,Can you help me wear my overalls?
kimono,Kimono
kimono_2,I like wearing kimono.
kimono_3,Can you help me wear my kimono?
raincoat,Raincoat
raincoat_2,I like wearing raincoat.
raincoat_3,Can you help me wear my raincoat?
bandana,Bandana
bandana_2,I like wearing bandana.
bandana_3,Can you help me wear my bandana?
beret,Beret
beret_2,I like wearing beret.
beret_3,Can you help me wear my beret?
knit-hat,Knit hat
knit-hat_2,I like wearing knit hat.
knit-hat_3,Can you help me wear my knit hat?
suspenders,Suspenders
suspenders_2,I like wearing suspenders.
suspenders_3,Can you help me wear my suspenders?
mitten,Mitten
mitten_2,I like wearing mitten.
mitten_3,Can you help me wear my mitten?
suit,Suit
suit_2,I like wearing suit.
suit_3,Can you help me wear my suit?
coat,Coat
coat_2,I like wearing coat.
coat_3,Can you help me wear my coat?
trench-coat,Trench coat
trench-coat_2,I like wearing trench coat.
trench-coat_3,Can you help me wear my trench coat?
colors,Colors
crayons,Crayons
crayons_2,I like crayons.
crayons_3,Can you give me crayons?
crayons_4,I want to draw using my crayons.
red,Red
red_2,It is red.
red_3,My favorite color is red.
red_4,Can you give me red paint?
blue,Blue
blue_2,It is blue.
blue_3,My favorite color is blue.
blue_4,Can you give me blue paint?
orange,Orange
orange_2,It is orange color.
orange_3,My favorite color is orange.
orange_4,Can you give me orange paint?
green,Green
green_2,It is green.
green_3,My favorite color is green.
green_4,Can you give me green paint?
yellow,Yellow
yellow_2,It is yellow.
yellow_3,My favorite color is yellow.
yellow_4,Can you give me yellow paint?
purple,Purple
purple_2,It is purple.
purple_3,My favorite color is purple.
purple_4,Can you give me purple paint?
pink,Pink
pink_2,It is pink.
pink_3,My favorite color is pink.
pink_4,Can you give me pink paint?
brown,Brown
brown_2,It is brown.
brown_3,My favorite color is brown.
brown_4,Can you give me brown paint?
black,Black
black_2,It is black.
black_3,My favorite color is black.
black_4,Can you give me black paint?
white,White
white_2,It is white.
white_3,My favorite color is white.
white_4,Can you give me white paint?
gray,Gray
gray_2,It is gray.
gray_3,My favorite color is gray.
gray_4,Can you give me gray paint?
transparent,Transparent
transparent_2,It is transparent.
transparent_3,I can see behind transparent color.
transparent_4,Can you help me erase?
cyan,Cyan
cyan_2,It is cyan.
cyan_3,My favorite color is cyan.
cyan_4,Can you give me cyan paint?
violet,Violet
violet_2,It is violet.
violet_3,My favorite color is violet.
violet_4,Can you give me violet paint?
turquoise,Turquoise
turquoise_2,It is turquoise.
turquoise_3,My favorite color is turquoise.
turquoise_4,Can you give me turquoise paint?
lime,Lime
lime_2,It is lime.
lime_3,My favorite color is lime.
lime_4,Can you give me lime paint?
plum,Plum
plum_2,It is plum.
plum_3,My favorite color is plum.
plum_4,Can you give me plum paint?
tan,Tan
tan_2,It is tan color.
tan_3,My favorite color is tan color.
tan_4,Can you give me tan color paint?
avocado,Avocado
avocado_2,It is avocado color.
avocado_3,My favorite color is avocado color.
avocado_4,Can you give me avocado color paint?
barbie-pink,Barbie pink
barbie-pink_2,It is barbie pink color.
barbie-pink_3,My favorite color is barbie pink.
barbie-pink_4,Can you give me barbie pink paint?
blizzard-blue,Blizzard blue
blizzard-blue_2,It is blizzard blue color.
blizzard-blue_3,My favorite color is blizzard blue color.
blizzard-blue_4,Can you give me blizzard blue paint?
conversation,Conversation
me,Me
me_2,My name is {name}
me_3,I'm {name}
me_4,Do you know my name?
me_5,What is your name?
me_6,Nice to meet you!
me_7,Do you like me?
me_8,Can we be friends?
me_9,I'm using assistive communication app.
me_10,Who are you?
hello,Hello
hello_2,Hello.
hello_3,Hi.
hello_4,Greetings.
hello_5,How are you?
hello_6,Nice to meet you!
help,Help
help_2,Help me.
help_3,Can you help me?
help_4,I need help
help_5,Do you need help?
yes,Yes
yes_2,Yes.
yes_3,Yes please.
yes_4,Alright.
yes_5,Agreed.
yes_6,I want to.
yes_7,I would like to.
no,No
no_2,No.
no_3,Nope.
no_4,Never.
no_5,I don't want to.
no_6,I don't like it.
no_7,You don't like it?
no_8,Why you don't like it?
toilet,Toilet
toilet_2,I need to go to the toilet.
toilet_3,I need to pee.
toilet_4,I need to poop.
toilet_5,Can you help me go to the toilet?
toilet_6,Can you help me clean?
toilet_7,I peed myself.
toilet_8,I pooped myself.
what,What
what_2,What is that?
what_3,What does it mean?
what_4,What do you mean?
what_5,Can you explain it?
what_6,Can you repeat what you said?
what_7,I don't understand.
sleep,Sleep
sleep_2,I want to sleep.
sleep_3,I don't want to sleep.
sleep_4,I'm tired.
sleep_5,Are you tired?
sleep_6,When am I going to sleep?
sleep_7,I want to take a nap.
bath,Bath
bath_2,I want to take a bath.
bath_3,I like taking a bath.
bath_4,I want to wash my hands.
bath_5,I want to take a shower.
bath_6,I want to clean myself.
bath_7,Can you help me take a bath?
bath_8,I don't want to take a bath.
listen,Listen
listen_2,Listen to me.
listen_3,Can you listen to me?
listen_4,Listen to music.
listen_5,Listening to my parents.
listen_6,Listen to what my application is saying!
morning,Morning
morning_2,Good morning.
morning_3,I like mornings.
morning_4,In the morning.
morning_5,Morning time.
morning_6,Is it morning?
night,Night
night_2,Good night!
night_3,I like nights.
night_4,At night.
night_5,Night time.
night_6,Is it night?
look,Look
look_2,Look at me.
look_3,Look at this.
look_4,Are you looking?
look_5,Look at my drawing.
look_6,How do I look?
look_7,Look what I did.
look_8,Let's look at that.
speak,Speak
speak_2,I'm learning how to speak.
speak_3,I want to speak.
speak_4,Can I speak with you?
speak_5,I like speaking.
speak_6,I'm using assistive communication app.
play,Play
play_2,I love playing.
play_3,Can you play with me?
play_4,I want to play with you!
play_5,I want to play with my friends.
play_6,I don't want to play with you.
outside,Outside
outside_2,I love going outside.
outside_3,I want to go outside.
outside_4,Is it cold outside?
outside_5,I don't like outside.
outside_6,Can I go outside?
home,Home
home_2,I love my home.
home_3,I want to go home.
home_4,Where is your home?
home_5,Home sweet home.
home_6,I'm in the house.
home_7,I'm not in the house.
hurt,Hurt
hurt_2,I'm hurt.
hurt_3,Are you hurt?
hurt_4,Did I hurt you?
hurt_5,I didn't mean to hurt you!
hurt_6,Is it going to hurt?
hurt_7,I have a headache.
hurt_8,I have a stomach ache.
hurt_9,My genitals hurt.
hurt_10,My foot hurts.
feelings,Feelings
happy,Happy
happy_2,I'm happy.
happy_3,I feel happy.
happy_4,Do you feel happy?
happy_5,I want to feel happy.
happy_6,You are making me happy.
sad,Sad
sad_2,I'm sad.
sad_3,I feel sad.
sad_4,Do you feel sad?
sad_5,I don't want to feel sad.
sad_6,You are making me sad.
exhausted,Exhausted
exhausted_2,I'm exhausted.
exhausted_3,I feel exhausted.
exhausted_4,Do you feel exhausted?
exhausted_5,I don't want to be exhausted.
relaxed,Relaxed
relaxed_2,I'm relaxed.
relaxed_3,I feel relaxed.
relaxed_4,Do you feel relaxed?
relaxed_5,I want to feel relaxed.
in-love,In love
in-love_2,I'm in love.
in-love_3,I feel in love.
in-love_4,Are you in love?
in-love_5,I want to fall in love.
in-love_6,Do you love me?
stressed,Stressed
stressed_2,I'm stressed.
stressed_3,I feel stressed.
stressed_4,Do you feel stressed?
stressed_5,I don't want to feel stressed.
thankful,Thankful
thankful_2,I'm thankful.
thankful_3,I feel thankful.
thankful_4,Do you feel thankful?
thankful_5,I want to feel thankful.
confused,Confused
confused_2,I'm confused.
confused_3,I feel confused.
confused_4,Do you feel confused?
confused_5,You are confusing me.
joyful,Joyful
joyful_2,I'm joyful.
joyful_3,I feel joyful.
joyful_4,Do you feel joyful?
joyful_5,I want to feel joyful.
angry,Angry
angry_2,I'm angry.
angry_3,I feel angry.
angry_4,Do you feel angry?
angry_5,I'm angry at you.
angry_6,You are making me angry.
smart,Smart
smart_2,I'm smart.
smart_3,I feel smart.
smart_4,Do you feel smart?
smart_5,Am I smart?
smart_6,You are smart!
afraid,Afraid
afraid_2,I'm afraid.
afraid_3,I feel afraid.
afraid_4,Do you feel afraid?
afraid_5,I don't want to feel afraid.
afraid_6,You are scaring me.
ashamed,Ashamed
ashamed_2,I'm ashamed.
ashamed_3,I feel ashamed.
ashamed_4,Do you feel ashamed?
ashamed_5,I don't want to feel ashamed.
shocked,Shocked
shocked_2,I'm shocked.
shocked_3,I feel shocked.
shocked_4,Do you feel shocked?
shocked_5,You shocked me.
sick,Sick
sick_2,I'm sick.
sick_3,I feel sick.
sick_4,Do you feel sick?
sick_5,I don't want to be sick.
sick_6,I'm sick of the food.
frustrated,Frustrated
frustrated_2,I'm frustrated.
frustrated_3,I feel frustrated.
frustrated_4,Do you feel frustrated?
frustrated_5,I don't want to feel frustrated.
excited,Excited
excited_2,I'm excited.
excited_3,I feel excited.
excited_4,Do you feel excited?
excited_5,I don't want to feel excited.
nauseated,Nauseated
nauseated_2,I'm nauseated.
nauseated_3,I feel nauseated.
nauseated_4,Do you feel nauseated?
nauseated_5,I don't want to feel nauseated.
agitated,Agitated
agitated_2,I'm agitated.
agitated_3,I feel agitated.
agitated_4,Do you feel agitated?
agitated_5,I don't want to feel agitated.
food,Food
hungry,Hungry
hungry_2,I'm hungry.
hungry_3,Are you hungry?
hungry_4,Can you make me food?
hungry_5,What is for dinner?
thirsty,Thirsty
thirsty_2,I'm thirsty.
thirsty_3,Can I have some water?
thirsty_4,Can I have a glass of water?
thirsty_5,I want something to drink.
cutlery,Cutlery
cutlery_2,I need cutlery.
cutlery_3,Help me use cutlery.
cutlery_4,I need a fork.
cutlery_5,I need a spoon.
cutlery_6,I need chopsticks.
cutlery_7,I need a knife.
cutlery_8,I need a napkin.
apple,Apple
apple_2,I like apple.
apple_3,I don't like apple.
apple_4,I want to eat an apple.
carrot,Carrot
carrot_2,I like carrot.
carrot_3,I don't like carrot.
carrot_4,I want to eat a carrot.
beans,Beans
beans_2,I like beans.
beans_3,I don't like beans.
beans_4,I want to eat beans.
chicken_5,I want fried chicken.
chicken_6,I want boiled chicken.
chocolate,Chocolate
chocolate_2,I like chocolate.
chocolate_3,I don't like chocolate.
chocolate_4,I want to eat chocolate.
chocolate_5,I want dark chocolate.
chocolate_6,I want white chocolate.
milk,Milk
milk_2,I like milk.
milk_3,I don't like milk.
milk_4,I want to drink milk.
milk_5,Can I have a glass of milk?
sandwich,Sandwich
sandwich_2,I like sandwich.
sandwich_3,I don't like sandwich.
sandwich_4,I want to eat a sandwich.
sandwich_5,Can you make me a sandwich?
steak,Steak
steak_2,I like steak.
steak_3,I don't like steak.
steak_4,I want to eat steak.
steak_5,Can you cook steak for me?
banana,Banana
banana_2,I like banana.
banana_3,I don't like banana.
banana_4,I want to eat a banana.
pie,Pie
pie_2,I like pie.
pie_3,I don't like pie.
pie_4,I want to eat pie.
pie_5,Can you bake a pie for me?
egg,Egg
egg_2,I like egg.
egg_3,I don't like egg.
egg_4,I want to eat egg.
egg_5,I want fried eggs.
egg_6,I want boiled eggs.
noodles,Noodles
noodles_2,I like noodles.
noodles_3,I don't like noodles.
noodles_4,I want to eat noodles.
noodles_5,Can you cook noodles for me?
salt,Salt
salt_2,I want salt.
salt_3,Can you pass me the salt?
salt_4,Food is too salty.
salt_5,My food needs some salt.
spices,Spices
spices_2,I like spicy food.
spices_3,I don't like spicy food.
spices_4,I want paprika.
spices_5,I want black pepper.
pizza,Pizza
pizza_2,I like pizza.
pizza_3,I don't like pizza.
pizza_4,I want to eat pizza.
pizza_5,Can you cook pizza for me?
pizza_6,Can we order pizza?
cheese,Cheese
cheese_2,I like cheese.
cheese_3,I don't like cheese.
cheese_4,I want to eat cheese.
ice-cream,Ice cream
ice-cream_2,I like ice cream.
ice-cream_3,I don't like ice cream.
ice-cream_4,I want to eat ice cream.
ice-cream_5,Can you buy ice cream for me?
tea,Tea
tea_2,I like tea.
tea_3,I don't like tea.
tea_4,I want to drink tea.
tea_5,Can you make tea for me?
coffee,Coffee
coffee_2,I like coffee.
coffee_3,I don't like coffee.
coffee_4,I want to drink coffee.
coffee_5,Can you make coffee for me?
tomato,Tomato
tomato_2,I like tomato.
tomato_3,I don't like tomato.
tomato_4,I want to eat tomato.
cereal,Cereal
cereal_2,I like cereal.
cereal_3,I don't like cereal.
cereal_4,I want to eat cereal.
cereal_5,Can you make my cereal?
burger,Burger
burger_2,I like burger.
burger_3,I don't like burger.
burger_4,I want to eat burger.
burger_5,Can you cook burger for me?
burger_6,Can we order burger?
french-fries,French fries
french-fries_2,I like french fries.
french-fries_3,I don't like french fries.
french-fries_4,I want to eat french fries.
french-fries_5,Can you cook french fries for me?
french-fries_6,Can we order french fries?
spinach,Spinach
spinach_2,I like spinach.
spinach_3,I don't like spinach.
spinach_4,I want to eat spinach.
rice,Rice
rice_2,I like rice.
rice_3,I don't like rice.
rice_4,I want to eat rice.
rice_5,Can you cook rice for me?
bread,Bread
bread_2,I like bread.
bread_3,I don't like bread.
bread_4,I want to eat bread.
bread_5,Can you buy some bread?
pasta,Pasta
pasta_2,I like pasta.
pasta_3,I don't like pasta.
pasta_4,I want to eat pasta.
pasta_5,Can you cook pasta for me?
sauce,Sauce
sauce_2,I like sauce.
sauce_3,I don't like sauce.
sauce_4,I want some sauce.
sauce_5,Can I have ketchup?
sauce_6,Can I have mayonnaise?
sauce_7,Can I have mustard?
sauce_8,Can I have ranch sauce?
kebab,Kebab
kebab_2,I like kebab.
kebab_3,I don't like kebab.
kebab_4,I want to eat kebab.
kebab_5,Can you cook kebab for me?
kebab_6,Can we order kebab?
numbers,Numbers
one,One
one_2,One comes before two.
one_3,One comes after zero.
one_4,I want one.
two,Two
two_2,Two comes before three.
two_3,Two comes after one.
two_4,I want two.
three,Three
three_2,Three comes before four.
three_3,Three comes after two.
three_4,I want three.
four,Four
four_2,Four comes before five.
four_3,Four comes after three.
four_4,I want four.
five,Five
five_2,Five comes before six.
five_3,Five comes after four.
five_4,I want five.
six,Six
six_2,Six comes before seven.
six_3,Six comes after five.
six_4,I want fix.
seven,Seven
seven_2,Seven comes before eight.
seven_3,Seven comes after six.
seven_4,I want seven.
eight,Eight
eight_2,Eight comes before nine.
eight_3,Eight comes after seven.
eight_4,I want eight.
nine,Nine
nine_2,Nine comes before ten.
nine_3,Nine comes after eight.
nine_4,I want nine.
ten,Ten
ten_2,Ten comes before eleven.
ten_3,Ten comes after nine.
ten_4,I want ten.
eleven,Eleven
eleven_2,Eleven comes before thirteen.
eleven_3,Eleven comes after ten.
eleven_4,I want eleven.
twenty,Twenty
twenty_2,I can count up to twenty.
thirty,Thirty
thirty_2,I can count up to thirty.
forty,Forty
forty_2,I can count up to forty.
fifty,Fifty
fifty_2,I can count up to fifty.
hundred,Hundred
hundred_2,I can count up to hundred.
thousand,Thousand
thousand_2,I can count up to thousand.
calculator,Calculator
calculator_2,I want to use a calculator.
calculator_3,Can you teach me how to use a calculator?
calculator_4,Can I barrow your calculator?
people,People
mother,Mother
mother_2,Mommy!
mother_3,I love my mother.
mother_4,I love you mom.
mother_5,I miss my mom.
mother_6,Thank you for taking care of me.
mother_7,She is my mom.
mother_8,Can you help me find my mother?
father,Father
father_2,Daddy!
father_3,I love my father.
father_4,I love you dad.
father_5,I miss my dad.
father_6,Thank you for taking care of me.
father_7,He is my dad.
father_8,Can you help me find my father?
parents,Parents
parents_2,I love my parents.
parents_3,I love my parents.
parents_4,I miss my parents.
parents_5,They are my parents.
parents_6,My parents are taking care of me.
parents_8,Can you help me find my parents?
grandparents,Grandparents
grandparents_2,I love my grandparents.
grandparents_3,I love you grandparents.
grandparents_4,I miss my grandparents.
grandparents_5,They are my grandparents.
grandparents_6,My grandparents are taking care of me.
grandparents_8,Can you help me find my grandparents?
brother,Brother
brother_2,I love my brother.
brother_3,I love you brother.
brother_4,I miss my brother.
brother_5,He is my brother.
brother_6,My brother is taking care of me.
brother_8,Can you help me find my brother?
sister,Sister
sister_2,I love my sister.
sister_3,I love you sister.
sister_4,I miss my sister.
sister_5,She is my sister.
sister_6,My sister is taking care of me.
sister_8,Can you help me find my sister?
uncle,Uncle
uncle_2,I love my uncle.
uncle_3,I love you uncle.
uncle_4,I miss my uncle.
uncle_5,He is my uncle.
uncle_8,Can you help me find my uncle?
aunt,Aunt
aunt_2,I love my aunt.
aunt_3,I love you aunt.
aunt_4,I miss my aunt.
