"Leeloo", "ឡេលេអូ"
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "ដោយអនុវត្តតាមគោលការណ៍នៃច្បាប់ការពារសិទ្ធិឯកជនលើអ៊ីនធឺណិតរបស់កុមារ (COPPA) អ្នកអាចស្នើសុំឱ្យយើងលុបចោលនូវទិន្នន័យអនាមិករបស់អ្នកឬកូនអ្នកគ្រប់ពេលដែលអ្នកចង់បាន។"
"To learn more, read our Privacy Policy in the previous menu.", "ដើម្បីស្វែងយល់បន្ថែមសូមអានគោលការណ៍ភាពឯកជនរបស់យើងនៅក្នុងមឺនុយមុន។"
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "នៅពេលអ្នកស្នើសុំឱ្យយើងលុបទិន្នន័យរបស់អ្នកយើងនឹងលុបគណនីរបស់អ្នកនិងទិន្នន័យដែលយើងបានប្រមូលអំពីអ្នកឬកូនរបស់អ្នក។ ប្រសិនបើអ្នកមានការជាវវានឹងត្រូវបញ្ឈប់។ ហើយទិន្នន័យដែលត្រូវបានដកចេញនឹងមិនអាចរកឃើញវិញទេ។"
"I understand, remove my data.", "ខ្ញុំយល់យកទិន្នន័យរបស់ខ្ញុំចេញ។"
"Parents Only", "មានតែឪពុកម្តាយប៉ុណ្ណោះ"
"Drag and drop the key over padlock in order to unlock the Settings", "ទាញនិងទម្លាក់កូនសោរលើសោដើម្បីដោះសោការកំណត់"
"Create a profile!", "បង្កើតប្រវត្តិរូប!"
"Choose a profile name or tell us the person who is going to use this application.", "ជ្រើសរើសឈ្មោះប្រវត្តិរូបឬប្រាប់យើងអំពីមនុស្សដែលនឹងប្រើពាក្យសុំនេះ។"
"Your Name", "ឈ្មោះ​របស់​អ្នក"
"Choose an avatar!", "ជ្រើសរើសរូបតំណាងមួយ!"
"Choose an avatar for the person who is going to use this AAC application.", "ជ្រើសរើសរូបតំណាងសម្រាប់អ្នកដែលនឹងប្រើកម្មវិធីអេអាយអេនេះ។"
"Boy", "ក្មេងប្រុស"
"Girl", "ក្មេងស្រី"
"Mixed", "លាយ"
"Congratulations, $1!", "សូមអបអរសាទរ $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "ទម្រង់អ្នកប្រើប្រាស់របស់អ្នកត្រូវបានបញ្ចប់។ អ្នកអាចចាប់ផ្តើមប្រើកម្មវិធីឡេឡេអូអេអេ"
"Welcome to", "ស្វាគមន៍​មកកាន់"
"Leeloo AAC", "ឡេលេអូអេ"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "អរគុណសម្រាប់ការទាញយកឡេលេអូអេអេសូមចាប់ផ្តើមជាមួយការរៀបចំលីលេអូរបស់អ្នក។"
"View other sign in options", "មើលជំរើសចូលផ្សេងទៀត"
"Who is using the app?", "តើអ្នកណាកំពុងប្រើកម្មវិធីនេះ?"
"Search cards and phrases...", "ស្វែងរកកាតនិងឃ្លា ..."
"Unlock Leeloo Premium!", "ដោះសោឡេឡេអូពិសេស!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "មុខងាររបស់ឡេលេអូអេអេនឹងមានសេរីភាពជានិច្ច។ ឡេឡេអូពិសេសផ្តល់ជូននូវកញ្ចប់ជំនួយការបន្ថែមចំនួន ៥០ សន្លឹក។"
"Monthly", "ប្រចាំខែ"
"Try 3 days for FREE", "សាកល្បង ៣ ថ្ងៃដោយឥតគិតថ្លៃ"
"Then $1/year", "បន្ទាប់មក $1 / ឆ្នាំ"
"Lifetime", "ឆាកជីវិត"
"One-time Payment", "ការទូទាត់តែម្តង"
"SAVE $1%", "រក្សាទុក $1%"
"$1/mo", "$1 / ខែ"
"See the packs you will unlock", "មើលកញ្ចប់ដែលអ្នកនឹងដោះសោ"
"Scroll the cards right to see all of the premium assistive cards.", "រំកិលកាតទៅខាងស្ដាំដើម្បីមើលកាតជំនួយបុព្វលាភទាំងអស់។"
"$1 cards", "កាត $1"
"$1 phrases", "ឃ្លា $1"
"Start 3 days FREE Trial", "ចាប់ផ្តើមសាកល្បងឥតគិតថ្លៃរយៈពេល ៣ ថ្ងៃ"
"Cancel anytime without cost", "បោះបង់គ្រប់ពេលដោយមិនចាំបាច់ចំណាយ"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "ការសាកល្បងឥតគិតថ្លៃរយៈពេល ៣ ថ្ងៃសម្រាប់តែផែនការប្រចាំឆ្នាំនិងអំឡុងពេលនេះ។ អ្នកអាចបោះបង់ការជាវរបស់អ្នកដោយមិនគិតថ្លៃ។"
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "ត្រូវប្រាកដថាពិនិត្យឡើងវិញនូវល័ក្ខខ័ណ្ឌនៃកម្មវិធីអ្នកលក់មុនពេលដែលអ្នកមានប្រសិនបើអ្នកមានបញ្ហាឬបញ្ហាណាមួយទាក់ទងមកយើងហើយយើងនឹងធ្វើអ្វីគ្រប់យ៉ាងដែលយើងអាចធ្វើបានដើម្បីដោះស្រាយបញ្ហាណាមួយដែលអ្នកប្រឈមមុខ។"
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "ផែនការប្រចាំខែនិងប្រចាំឆ្នាំគឺជាផែនការដែលកើតឡើងដដែលៗហើយផែនការជីវិតគឺជាគម្រោងបង់ប្រាក់មួយលើកសម្រាប់ការជាវលើកលែងតែការប្តូរស្វ័យប្រវត្តិត្រូវបានបិទអ្នកនឹងត្រូវគិតថ្លៃអំឡុងពេលដែលរយៈពេលបច្ចុប្បន្នបញ្ចប់។"
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "រក្សាទុកក្នុងចិត្តការសងប្រាក់វិញត្រូវបានគ្រប់គ្រងដោយវេទិកាហើយពេលវេលាសងប្រាក់វិញនិងគោលនយោបាយអាចខុសគ្នាការគោរពទៅនឹងវេទិកានិងទីផ្សារដែលអ្នកកំពុងជាវ។"
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "សូមរាយការណ៍អំពីការទិញដោយចៃដន្យមកយើងក្នុងថ្ងៃតែមួយឬយ៉ាងហោចណាស់ក្នុងរយៈពេល ២៤ ម៉ោងដោយប្រើទំព័រ 'ផ្ញើមតិត្រឡប់' នៅក្នុងការកំណត់កម្មវិធី។"
"Leeloo Premium", "ឡេឡេអូពិសេស"
"Subscribe to get more", "ជាវដើម្បីទទួលបានច្រើនទៀត"
"Try 3 days for free", "សាកល្បង ៣ ថ្ងៃដោយឥតគិតថ្លៃ"
"Next", "បន្ទាប់"
"Start", "ចាប់ផ្តើម"
"USE", "ការប្រើប្រាស់"
"USING", "ការប្រើប្រាស់"
"ADD", "បន្ថែម"
"REMOVE", "ដកចេញ"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "ឧបករណ៍របស់អ្នកមិនគាំទ្រកម្មវិធីបញ្ជាសំលេងសម្រាប់ភាសានេះទេ។ ដើម្បីប្រើសមត្ថភាព TTS អ្នកត្រូវតំឡើងកម្មវិធីបញ្ជាសំលេង។ អ្នកអាចសាកល្បងប្រើកម្មវិធី“ Google TTS” ដើម្បីតំឡើងនិងគ្រប់គ្រងកម្មវិធីបញ្ជា!"
"Confirm Sign Out", "បញ្ជាក់ចេញ"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "ចងចាំថាអ្នកអាចរក្សាការចូលហើយមិនចាំបាច់ចេញពីគណនីរបស់អ្នករាល់ពេលទេ។"
"Remove Profile", "យកប្រវត្តិរូបចេញ"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "តើអ្នកប្រាកដថាអ្នកចង់លុបប្រវត្តិរូបនេះទេទិន្នន័យដែលបង្កើតដោយប្រវត្តិរូបនេះក៏នឹងត្រូវលុបចេញដែរ។"
"OK", "យល់ព្រម"
"Cancel", "បោះបង់"
