"Leeloo", "릴루"
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "COPPA (Children 's Online Privacy Protection Act)의 지침에 따라 언제든지 귀하 또는 자녀의 익명 데이터를 모두 삭제하도록 요청할 수 있습니다."
"To learn more, read our Privacy Policy in the previous menu.", "자세한 내용은 이전 메뉴에서 개인 정보 보호 정책을 읽으십시오."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "귀하가 귀하의 데이터를 삭제하도록 요청하면 귀하의 계정과 귀하 또는 귀하의 자녀에 대해 수집 한 모든 데이터가 제거됩니다. 또한 가입이있는 경우 가입이 종료됩니다. 제거 된 데이터는 복구 할 수 없습니다."
"I understand, remove my data.", "이해합니다. 데이터를 삭제하십시오."
"Parents Only", "부모 만"
"Drag and drop the key over padlock in order to unlock the Settings", "설정 잠금을 해제하려면 자물쇠 위로 키를 끌어다 놓으십시오"
"Create a profile!", "프로필을 만드십시오!"
"Choose a profile name or tell us the person who is going to use this application.", "프로필 이름을 선택하거나이 응용 프로그램을 사용할 사람을 알려주십시오."
"Your Name", "당신의 이름"
"Choose an avatar!", "아바타를 선택하십시오!"
"Choose an avatar for the person who is going to use this AAC application.", "이 AAC 응용 프로그램을 사용할 사람의 아바타를 선택하십시오."
"Boy", "소년"
"Girl", "소녀"
"Mixed", "혼합"
"Congratulations, $1!", "축하합니다, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "사용자 프로필이 완성되었습니다. Leeloo AAC 앱 사용을 시작할 수 있습니다"
"Welcome to", "에 오신 것을 환영합니다"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Leeloo AAC를 다운로드 해 주셔서 감사합니다. leeloo 프로필 설정을 시작해 보겠습니다."
"View other sign in options", "다른 로그인 옵션보기"
"Who is using the app?", "누가 앱을 사용하고 있습니까?"
"Search cards and phrases...", "검색 카드 및 문구 ..."
"Unlock Leeloo Premium!", "Leeloo Premium을 잠금 해제하십시오!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Leeloo AAC의 기능은 항상 무료입니다. Leeloo Premium은 +50의 추가 보조 카드 팩을 제공합니다."
"Monthly", "월간 간행물"
"Try 3 days for FREE", "3 일 무료 체험"
"Then $1/year", "그런 다음 $1 / 년"
"Lifetime", "일생"
"One-time Payment", "일회성 결제"
"SAVE $1%", "$1 % 할인"
"$1/mo", "$1 / 월"
"See the packs you will unlock", "당신이 잠금을 해제 팩을 참조하십시오"
"Scroll the cards right to see all of the premium assistive cards.", "카드를 오른쪽으로 스크롤하면 모든 프리미엄 보조 카드를 볼 수 있습니다."
"$1 cards", "$1 카드"
"$1 phrases", "$1 문구"
"Start 3 days FREE Trial", "3 일 무료 평가판 시작"
"Cancel anytime without cost", "비용없이 언제든지 취소"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "3 일 무료 평가판은 연간 계획 및이 기간에만 적용됩니다. 비용없이 가입을 취소 할 수 있습니다."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "판매자 플랫폼 이용 약관을 미리 검토하십시오. 문제 나 문제가있는 경우 당사에 문의하면 직면 한 문제를 해결하기 위해 최선을 다하겠습니다."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "월간 및 연간 계획은 되풀이 계획이고 수명 계획은 구독에 대한 일회성 지불 계획입니다. 자동 갱신이 해제되어 있지 않으면 현재 기간이 종료되면 기간 가격이 청구됩니다."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "환불은 플랫폼에 의해 처리되며 환불 시간과 정책은 플랫폼 및 가입 시장에 따라 다를 수 있습니다."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "앱 설정의 '의견 보내기'페이지를 사용하여 당일 또는 최소 24 시간 내에 우발적 인 구매를보고하십시오."
"Leeloo Premium", "릴루 프리미엄"
"Subscribe to get more", "더 많은 것을 얻기 위해 구독하십시오"
"Try 3 days for free", "3 일 동안 무료로 사용해보십시오"
"Next", "다음"
"Start", "스타트"
"USE", "사용하다"
"USING", "사용"
"ADD", "더하다"
"REMOVE", "없애다"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "장치가이 언어의 음성 드라이버를 지원하지 않습니다. TTS 기능을 사용하려면 음성 드라이버를 설치해야합니다. 'Google TTS'앱을 사용해 드라이버를 설치하고 관리 할 수 있습니다!"
"Confirm Sign Out", "로그 아웃 확인"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "로그인 상태를 유지할 수 있으며 매번 계정에서 로그 아웃 할 필요는 없습니다."
"Remove Profile", "프로필 제거"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "이 프로파일을 제거 하시겠습니까?이 프로파일로 작성된 데이터도 제거됩니다."
"OK", "확인"
"Cancel", "취소"
