"activities","Activities","活動内容"
"skating_3","I don't like skating.","私はスケートが好きではありません。"
"skating_4","Do you want to go skating?","スケートに行きたいですか？"
"sightseeing","Sightseeing","観光"
"sightseeing_2","I like sightseeing.","私は観光が好きです。"
"sightseeing_3","I don't like sightseeing.","観光は好きではありません。"
"sightseeing_4","Do you want to go for sightseeing?","あなたは観光に行きたいですか？"
"video-games","Video games","ビデオゲーム"
"video-games_2","I like playing video games.","私はビデオゲームをするのが好きです。"
"video-games_3","I don't like playing video games.","私はビデオゲームをするのが好きではありません。"
"video-games_4","Do you want to play games?","ゲームをしたいですか？"
"tidying","Tidying","片付け"
"tidying_2","I like tidying my room.","部屋を片付けるのが好きです。"
"tidying_3","I don't like tidying my room.","部屋を片付けたくない。"
"tidying_4","Can you help me tidy my room?","部屋の片付けを手伝ってくれませんか？"
"toys","Toys","おもちゃ"
"toys_2","I like toys.","おもちゃが好きです。"
"toys_3","I don't like toys.","おもちゃは嫌いです。"
"toys_4","Do you want to play with my toys?","私のおもちゃで遊んでみませんか？"
"puzzle","Puzzle","パズル"
"puzzle_2","I like solving puzzle.","パズルを解くのが好きです。"
"puzzle_3","I don't like solving puzzle.","パズルを解くのは好きではありません。"
"puzzle_4","Do you want to solve puzzles with me?","私と一緒にパズルを解きたいですか？"
"comics","Comics","漫画"
"comics_2","I like reading comics.","私は漫画を読むのが好きです。"
"comics_3","I don't like reading comics.","私は漫画を読むのが好きではありません。"
"comics_4","Do you want to read comics?","漫画を読みたいですか？"
"chess","Chess","チェス"
"chess_2","I like playing chess.","私はチェスをするのが好きです。"
"chess_3","I don't like playing chess.","チェスは好きじゃない。"
"chess_4","Do you want to play chess with me?","私とチェスをしたいですか？"
"using-leeloo","Using Leeloo","Leelooの使用"
"using-leeloo_2","I like using leeloo.","私はleelooを使うのが好きです。"
"using-leeloo_3","I don't like using leeloo.","leelooを使うのは好きではありません。"
"using-leeloo_4","Can you change card packs on leeloo?","leelooでカードパックを変更できますか？"
"texting","Texting","テキストメッセージ"
"texting_2","I like texting.","私はテキストメッセージが好きです。"
"texting_3","I don't like texting.","私はテキストメッセージが好きではありません。"
"knitting","Knitting","編み物"
"knitting_2","I like knitting.","私は編み物が好きです。"
"knitting_3","I don't like knitting.","私は編み物が好きではありません。"
"knitting_4","I want to learn how to knit.","編み方を学びたい。"
"bowling","Bowling","ボウリング"
"bowling_2","I like bowling.","ボウリングが好きです。"
"bowling_3","I don't like bowling.","ボウリングは好きではありません。"
"bowling_4","Do you want to play bowling with me?","私とボウリングをしませんか？"
"watching-tv","Watching TV","テレビを見ている"
"watching-tv_2","I like watching tv.","私はテレビを見るのが好きです。"
"watching-tv_3","I don't like watching tv.","私はテレビを見るのが好きではありません。"
"watching-tv_4","Do you want to watch tv?","テレビを見たいですか？"
"fishing","Fishing","釣り"
"fishing_2","I like fishing.","釣りが好きです。"
"fishing_3","I don't like fishing.","私は釣りが好きではありません。"
"fishing_4","Do you want to go to fishing?","釣りに行きたいですか？"
"exercising","Exercising","エクササイズ"
"exercising_2","I like exercising.","私は運動が好きです。"
"exercising_3","I don't like exercising.","私は運動が好きではありません。"
"exercising_4","Do you want to exercise with me?","私と一緒に運動しませんか？"
"tennis","Tennis","テニス"
"tennis_2","I like playing tennis.","私はテニスをするのが好きです。"
"tennis_3","I don't like playing tennis.","テニスは好きではありません。"
"tennis_4","Do you want to play tennis with me?","私と一緒にテニスをしたいですか？"
"animals","Animals","動物"
"cat","Cat","ネコ"
"cat_2","I like cats.","私は猫が好きです。"
"cat_3","I saw a cat.","猫を見ました。"
"cat_4","What noise does a cat make?","猫はどんな音を立てますか？"
"cat_5","Can we get a cat as pet?","猫をペットとしてもらえますか？"
"dog","Dog","犬"
"dog_2","I like dog.","私は犬が好きです。"
"dog_3","I saw a dog.","犬を見ました。"
"dog_4","What noise does a dog make?","犬はどんな音を立てますか？"
"dog_5","Can we get a dog as pet?","ペットとして犬を飼うことはできますか？"
"fish","Fish","魚"
"fish_2","I like fish.","私は魚が好き。"
"fish_3","I saw a fish.","魚を見た。"
"fish_4","What noise does a fish make?","魚はどんな音を立てますか？"
"fish_5","Can we get a fish as pet?","魚をペットとしてもらえますか？"
"rabbit","Rabbit","ウサギ"
"rabbit_2","I like rabbits.","私はうさぎが好きです。"
"rabbit_3","I saw a rabbit.","うさぎを見ました。"
"rabbit_4","What noise does a rabbit make?","ウサギはどんな音を立てますか？"
"rabbit_5","Can we get a rabbit as pet?","ペットとしてウサギをもらえますか？"
"butterfly","Butterfly","バタフライ"
"butterfly_2","I like butterflies.","私は蝶が好きです。"
"butterfly_3","I saw a butterfly.","私は蝶を見ました。"
"butterfly_4","What noise does a butterfly make?","蝶はどんな音を立てますか？"
"kangaroo","Kangaroo","カンガルー"
"kangaroo_2","I like kangaroos.","カンガルーが好きです。"
"kangaroo_3","I saw a kangaroo.","カンガルーを見ました。"
"kangaroo_4","What noise does a kangaroo make?","カンガルーはどんな音を立てますか？"
"turtle","Turtle","カメ"
"turtle_2","I like turtles.","私は亀が好きです。"
"turtle_3","I saw a turtle.","カメを見ました。"
"turtle_4","What noise does a turtle make?","カメはどんな音を立てますか？"
"giraffe","Giraffe","キリン"
"giraffe_2","I like giraffes.","キリンが好きです。"
"giraffe_3","I saw a giraffe.","キリンを見ました。"
"giraffe_4","What noise does a giraffe make?","キリンはどんな音を立てますか？"
"frog","Frog","カエル"
"frog_2","I like frogs.","カエルが好きです。"
"frog_3","I saw a frog.","カエルを見ました。"
"frog_4","What noise does a frog make?","カエルはどんな音を立てますか？"
"swan","Swan","白鳥"
"swan_2","I like swans.","白鳥が好きです。"
"swan_3","I saw a swan.","白鳥を見ました。"
"swan_4","What noise does a swan make?","白鳥はどんな音を立てますか？"
"spider","Spider","クモ"
"spider_2","I like spiders.","クモが好きです。"
"spider_3","I saw a spider.","クモを見た。"
"spider_4","What noise does a spider make?","クモはどんな音を立てますか？"
"cow","Cow","牛"
"cow_2","I like cows.","私は牛が好きです。"
"cow_3","I saw a cow.","牛を見ました。"
"cow_4","What noise does a cow make?","牛はどんな音を出しますか？"
"duck","Duck","アヒル"
"duck_2","I like ducks.","アヒルが好きです。"
"duck_3","I saw a duck.","アヒルを見た。"
"duck_4","What noise does a duck make?","アヒルはどんな音を立てますか？"
"horse","Horse","うま"
"horse_2","I like horses.","私は馬が好きです。"
"horse_3","I saw a horse.","馬を見ました。"
"horse_4","What noise does a horse make?","馬はどんな音を立てますか？"
"chicken","Chicken","チキン"
"chicken_2","I like chickens.","鶏が好きです。"
"chicken_3","I saw a chicken.","ニワトリを見ました。"
"chicken_4","What noise does a chicken make?","ニワトリはどんな音を立てますか？"
"bee","Bee","蜂"
"bee_2","I like bees.","ミツバチが好きです。"
"bee_3","I saw a bee.","蜂を見ました。"
"bee_4","What noise does a bee make?","蜂はどんな音を立てますか？"
"pig","Pig","豚"
"pig_2","I like pigs.","豚が好きです。"
"pig_3","I saw a pig.","豚を見ました。"
"pig_4","What noise does a pig make?","豚はどんな音を立てますか？"
"dove","Dove","鳩"
"dove_2","I like doves.","鳩が好きです。"
"dove_3","I saw a dove.","鳩を見ました。"
"dove_4","What noise does a dove make?","鳩はどんな音を立てますか？"
"crab","Crab","カニ"
"crab_2","I like crabs.","私はカニが好きです。"
"crab_3","I saw a crab.","カニを見ました。"
"crab_4","What noise does a crab make?","カニはどんな音を立てますか？"
"penguin","Penguin","ペンギン"
"penguin_2","I like penguins.","ペンギンが好きです。"
"penguin_3","I saw a penguin.","ペンギンを見ました。"
"penguin_4","What noise does a penguin make?","ペンギンはどんな音を立てますか？"
"elephant","Elephant","象"
"elephant_2","I like elephants.","私は象が好きです。"
"elephant_3","I saw an elephant.","象を見ました。"
"elephant_4","What noise does an elephant make?","象はどんな音を立てますか？"
"zebra","Zebra","シマウマ"
"zebra_2","I like zebras.","シマウマが好きです。"
"zebra_3","I saw a zebra.","シマウマを見ました。"
"zebra_4","What noise does a zebra make?","シマウマはどんな音を立てますか？"
"panda","Panda","パンダ"
"panda_2","I like pandas.","パンダが好きです。"
"panda_3","I saw a panda.","パンダを見ました。"
"panda_4","What noise does a panda make?","パンダはどんな音を立てますか？"
"monkey","Monkey","モンキー"
"monkey_2","I like monkeys.","サルが好きです。"
"monkey_3","I saw a monkey.","サルを見ました。"
"monkey_4","What noise does a monkey make?","サルはどんな音を立てますか？"
"camel","Camel","キャメル"
"camel_2","I like camels.","ラクダが好きです。"
"camel_3","I saw a camel.","ラクダを見ました。"
"camel_4","What noise does a camel make?","ラクダはどんな音を立てますか？"
"mouse","Mouse","マウス"
"mouse_2","I like mice.","私はマウスが好きです。"
"mouse_3","I saw a mouse.","ネズミを見ました。"
"mouse_4","What noise does a mouse make?","マウスはどんな音を出しますか？"
"tiger","Tiger","虎"
"tiger_2","I like tigers.","私はトラが好きです。"
"tiger_3","I saw a tiger.","トラを見ました。"
"tiger_4","What noise does a tiger make?","虎はどんな音を立てますか？"
"jellyfish","Jellyfish","クラゲ"
"jellyfish_2","I like jellyfishes.","クラゲが好きです。"
"jellyfish_3","I saw a jellyfish.","クラゲを見ました。"
"jellyfish_4","What noise does a jellyfish make?","クラゲはどんな音を出しますか？"
"crocodile","Crocodile","クロコダイル"
"crocodile_2","I like crocodiles.","ワニが好きです。"
"crocodile_3","I saw a crocodile.","ワニを見ました。"
"crocodile_4","What noise does a crocodile make?","ワニはどんな音を立てますか？"
"koala","Koala","コアラ"
"koala_2","I like koalas.","コアラが好きです。"
"koala_3","I saw a koala.","コアラを見ました。"
"koala_4","What noise does a koala make?","コアラはどんな音を立てますか？"
"ostrich","Ostrich","ダチョウ"
"ostrich_2","I like ostriches.","ダチョウが好きです。"
"ostrich_3","I saw an ostrich.","ダチョウを見ました。"
"ostrich_4","What noise does an ostrich make?","ダチョウはどんな音を立てますか？"
"racoon","Racoon","ラクーン"
"racoon_2","I like racoons.","アライグマが好きです。"
"racoon_3","I saw a racoon.","タヌキを見た。"
"racoon_4","What noise does a racoon make?","タヌキはどんな音を立てますか？"
"bat","Bat","コウモリ"
"bat_2","I like bats.","私はコウモリが好きです。"
"bat_3","I saw a bat.","私はコウモリを見ました。"
"bat_4","What noise does a bat make?","コウモリはどんな音を立てますか？"
"eagle","Eagle","鷲"
"eagle_2","I like eagles.","ワシが好きです。"
"eagle_3","I saw an eagle.","ワシを見た。"
"eagle_4","What noise does an eagle make?","ワシはどんな音を立てますか？"
"hippopotamus","Hippopotamus","カバ"
"hippopotamus_2","I like hippopotamus.","カバが好きです。"
"hippopotamus_3","I saw a hippopotamus.","カバを見ました。"
"hippopotamus_4","What noise does a hippopotamus make?","カバはどんな音を立てますか？"
"seal","Seal","密閉する"
"seal_2","I like seals.","シールが好きです。"
"seal_3","I saw a seal.","アザラシを見ました。"
"seal_4","What noise does a seal make?","シールはどんな音を立てますか？"
"walrus","Walrus","セイウチ"
"walrus_2","I like walruses.","セイウチが好きです。"
"walrus_3","I saw a walrus.","セイウチを見ました。"
"walrus_4","What noise does a walrus make?","セイウチはどんな音を立てますか？"
"seahorse","Seahorse","タツノオトシゴ"
"seahorse_2","I like seahorses.","タツノオトシゴが好きです。"
"seahorse_3","I saw a seahorse.","タツノオトシゴを見ました。"
"seahorse_4","What noise does a seahorse make?","タツノオトシゴはどんな音を立てますか？"
"bull","Bull","ブル"
"bull_2","I like bulls.","私は雄牛が好きです。"
"bull_3","I saw a bull.","私は雄牛を見ました。"
"bull_4","What noise does a bull make?","雄牛はどんな音を立てますか？"
"pelican","Pelican","ペリカン"
"pelican_2","I like pelicans.","ペリカンが好きです。"
"pelican_3","I saw a pelican.","ペリカンを見ました。"
"pelican_4","What noise does a pelican make?","ペリカンはどんな音を立てますか？"
"beaver","Beaver","ビーバー"
"beaver_2","I like beavers.","私はビーバーが好きです。"
"beaver_3","I saw a beaver.","ビーバーを見ました。"
"beaver_4","What noise does a beaver make?","ビーバーはどんな音を立てますか？"
"goldfish","Goldfish","金魚"
"goldfish_2","I like goldfishes.","金魚が好きです。"
"goldfish_3","I saw a goldfish.","金魚を見ました。"
"goldfish_4","What noise does a goldfish make?","金魚はどんな音を立てますか？"
"goldfish_5","Can we get a goldfish as pet?","金魚をペットとしてもらえますか？"
"rhinoceros","Rhinoceros","サイ"
"rhinoceros_2","I like rhinoceros.","サイが好きです。"
"rhinoceros_3","I saw a rhinoceros.","サイを見ました。"
"rhinoceros_4","What noise does a rhinoceros make?","サイはどんな音を出しますか？"
"snake","Snake","ヘビ"
"snake_2","I like snakes.","ヘビが好きです。"
"snake_3","I saw a snake.","ヘビを見ました。"
"snake_4","What noise does a snake make?","蛇はどんな音を立てますか？"
"lion","Lion","ライオン"
"lion_2","I like lions.","ライオンが好きです。"
"lion_3","I saw a lion.","ライオンを見ました。"
"lion_4","What noise does a lion make?","ライオンはどんな音を立てますか？"
"squid","Squid","いか"
"squid_2","I like squids.","イカが好きです。"
"squid_3","I saw a squid.","イカを見ました。"
"squid_4","What noise does a squid make?","イカはどんな音を立てますか？"
"whale","Whale","鯨"
"whale_2","I like whales.","クジラが好きです。"
"whale_3","I saw a whale.","クジラを見ました。"
"whale_4","What noise does a whale make?","クジラはどんな音を立てますか？"
"beetle","Beetle","甲虫"
"beetle_2","I like beetles.","カブトムシが好きです。"
"beetle_3","I saw a beetle.","カブトムシを見ました。"
"beetle_4","What noise does a beetle make?","カブトムシはどんな音を立てますか？"
"dolphin","Dolphin","イルカ"
"dolphin_2","I like dolphins.","イルカが好きです。"
"dolphin_3","I saw a dolphin.","イルカを見ました。"
"dolphin_4","What noise does a dolphin make?","イルカはどんな音を立てますか？"
"starfish","Starfish","ヒトデ"
"starfish_2","I like starfishes.","ヒトデが好きです。"
"starfish_3","I saw a starfish.","ヒトデを見ました。"
"starfish_4","What noise does a starfish make?","ヒトデはどんな音を立てますか？"
"parakeet","Parakeet","インコ"
"parakeet_2","I like parakeets.","私はインコが好きです。"
"parakeet_3","I saw a parakeet.","インコを見た。"
"parakeet_4","What noise does a parakeet make?","インコはどんな音を出しますか？"
"owl","Owl","フクロウ"
"owl_2","I like owls.","フクロウが好きです。"
"owl_3","I saw an owl.","フクロウを見ました。"
"owl_4","What noise does an owl make?","フクロウはどんな音を立てますか？"
"sheep","Sheep","羊"
"sheep_2","I like sheeps.","羊が好きです。"
"sheep_3","I saw a sheep.","羊を見ました。"
"sheep_4","What noise does a sheep make?","羊はどんな音を立てますか？"
"clothes","Clothes","服"
"pants","Pants","パンツ"
"pants_2","My pants are dirty.","ズボンが汚れています。"
"pants_3","Can you help me wear my pants?","ズボンの着用を手伝ってもらえますか？"
"shirt","Shirt","シャツ"
"shirt_2","My shirt is dirty.","シャツが汚れています。"
"shirt_3","Can you help me wear my shirt?","シャツの着用を手伝ってくれませんか？"
"skirt","Skirt","スカート"
"skirt_2","My skirt is dirty.","スカートが汚れています。"
"skirt_3","Can you help me wear my skirt?","スカートの着用を手伝ってくれませんか？"
"panty","Panty","パンティー"
"panty_2","My underwear is dirty.","下着が汚れています。"
"panty_3","Can you help me wear my panty?","パンティーの着用を手伝ってくれませんか？"
"jacket","Jacket","ジャケット"
"jacket_2","My jacket is dirty.","ジャケットが汚れています。"
"jacket_3","Can you help me wear my jacket?","ジャケットの着用を手伝ってもらえますか？"
"tie","Tie","ネクタイ"
"tie_2","I like wearing tie.","ネクタイが好きです。"
"tie_3","Can you help me tie my tie?","ネクタイを結ぶのを手伝ってくれませんか？"
"baseball-cap","Baseball cap","野球帽"
"baseball-cap_2","I like wearing baseball cap.","野球帽をかぶるのが好きです。"
"baseball-cap_3","Which baseball cap should I wear?","どの野球帽を着ればいいですか？"
"dress","Dress","ドレス"
"dress_2","My dress is dirty.","ドレスが汚れています。"
"dress_3","Can you help me wear my dress?","ドレスの着用を手伝ってもらえますか？"
"shoes","Shoes","靴"
"shoes_2","My shoes are dirty.","靴が汚れています。"
"shoes_3","Can you help me wear my shoes?","私の靴の履き方を手伝ってくれませんか？"
"boots","Boots","ブーツ"
"boots_2","My boots are dirty.","ブーツが汚れています。"
"boots_3","Can you help me wear my boots?","ブーツの着用を手伝ってくれませんか？"
"sneakers","Sneakers","スニーカー"
"sneakers_2","I want to wear my sneakers.","スニーカーを履きたいです。"
"sneakers_3","Can you help me wear my sneakers?","スニーカーの着用を手伝ってくれませんか？"
"slippers","Slippers","スリッパ"
"slippers_2","I want to wear my slippers.","スリッパを履きたい。"
"slippers_3","Can you help me wear my slippers?","スリッパの着用を手伝ってくれませんか？"
"belt","Belt","ベルト"
"belt_2","I like wearing belt.","ベルトが好きです。"
"belt_3","Can you help me wear my belt?","ベルトの着用を手伝ってもらえますか？"
"socks","Socks","靴下"
"socks_2","My socks are dirty.","靴下が汚れています。"
"socks_3","Can you help me wear my socks?","靴下の着用を手伝ってくれませんか？"
"swimsuit","Swimsuit","水着"
"swimsuit_2","I want to wear my swimsuit.","水着を着たいです。"
"swimsuit_3","Can you help me wear my swimsuit?","水着の着用を手伝ってもらえますか？"
"sweater","Sweater","セーター"
"sweater_2","My sweater is dirty.","セーターが汚れています。"
"sweater_3","Can you help me wear my sweater?","セーターの着用を手伝ってくれませんか？"
"scarf","Scarf","スカーフ"
"scarf_2","I like wearing scarf.","スカーフを着るのが好きです。"
"scarf_3","Can you help me wear my scarf?","スカーフの着用を手伝ってくれませんか？"
"denim-shorts","Denim shorts","デニムショートパンツ"
"denim-shorts_2","My denim shorts are dirty.","デニムのショーツが汚れています。"
"denim-shorts_3","Can you help me wear my denim shorts?","デニムのショートパンツの着用を手伝ってくれませんか？"
"hoodies","Hoodies","パーカー"
"hoodies_2","I like wearing hoodies.","パーカーを着るのが好きです。"
"hoodies_3","Can you help me wear my hoodie?","パーカーの着用を手伝ってくれませんか？"
"swimming-shorts","Swimming shorts","水泳パンツ"
"swimming-shorts_2","My swimming shorts are dirty.","水泳パンツが汚れています。"
"swimming-shorts_3","Can you help me wear my swimming shorts?","水泳パンツの着用を手伝ってもらえますか？"
"bow-tie","Bow tie","ちょうネクタイ"
"bow-tie_2","I like wearing bow tie.","蝶ネクタイが好きです。"
"bow-tie_3","Can you help me wear my bow tie?","蝶ネクタイの着用を手伝ってもらえますか？"
"leather-jacket","Leather jacket","革のジャケット"
"leather-jacket_2","I like wearing leather jacket.","レザージャケットを着るのが好きです。"
"leather-jacket_3","Can you help me wear my leather jacket?","革のジャケットの着用を手伝ってもらえますか？"
"bathrobe","Bathrobe","バスローブ"
"bathrobe_2","I like wearing bathrobe.","バスローブを着るのが好きです。"
"bathrobe_3","Can you help me wear my bathrobe?","バスローブの着用を手伝ってもらえますか？"
"jumpsuit","Jumpsuit","ジャンプスーツ"
"jumpsuit_2","I like wearing jumpsuit.","ジャンプスーツを着るのが好きです。"
"jumpsuit_3","Can you help me wear my jumpsuit?","ジャンプスーツの着用を手伝ってもらえますか？"
"fedora-hat","Fedora hat","フェドーラ帽"
"fedora-hat_2","I like wearing fedora hat.","フェドーラ帽が好きです。"
"fedora-hat_3","Can you help me wear my fedora hat?","フェドーラ帽の着用を手伝ってくれませんか？"
"t-shirt","T-shirt","Tシャツ"
"t-shirt_2","I like wearing t-shirt.","Tシャツを着るのが好きです。"
"t-shirt_3","Can you help me wear my t-shirt?","Tシャツの着用を手伝ってくれませんか？"
"sleeveless","Sleeveless","ノースリーブ"
"sleeveless_2","I like wearing sleeveless.","ノースリーブが好きです。"
"sleeveless_3","Can you help me wear my sleeveless?","ノースリーブで着てもらえますか？"
"boxers","Boxers","ボクサー"
"boxers_2","I like wearing boxers.","ボクサーを着るのが好きです。"
"boxers_3","Can you help me wear my boxers?","ボクサーの着用を手伝ってくれませんか？"
"vest","Vest","ベスト"
"vest_2","I like wearing vest.","ベストを着るのが好きです。"
"vest_3","Can you help me wear my vest?","ベストの着用を手伝ってくれませんか？"
"pamela-hat","Pamela hat","パメラハット"
"pamela-hat_2","I like wearing pamela hat.","パメラハットが好きです。"
"pamela-hat_3","Can you help me wear my pamela hat?","パメラの帽子の着用を手伝ってくれませんか？"
"high-heels","High heels","ハイヒール"
"high-heels_2","I like wearing high heels.","ハイヒールを履くのが好きです。"
"high-heels_3","Can you help me wear my high heels?","ハイヒールの着用を手伝ってくれませんか？"
"overalls","Overalls","オーバーオール"
"overalls_2","I like wearing overalls.","オーバーオールが好きです。"
"overalls_3","Can you help me wear my overalls?","オーバーオールの着用を手伝ってもらえますか？"
"kimono","Kimono","着物"
"kimono_2","I like wearing kimono.","着物が好きです。"
"kimono_3","Can you help me wear my kimono?","着物を着て頂けますか？"
"raincoat","Raincoat","レインコート"
"raincoat_2","I like wearing raincoat.","レインコートを着るのが好きです。"
"raincoat_3","Can you help me wear my raincoat?","レインコートの着用を手伝ってくれませんか？"
"bandana","Bandana","バンダナ"
"bandana_2","I like wearing bandana.","バンダナを着るのが好きです。"
"bandana_3","Can you help me wear my bandana?","バンダナの着用を手伝ってくれませんか？"
"beret","Beret","ベレー"
"beret_2","I like wearing beret.","ベレー帽が好きです。"
"beret_3","Can you help me wear my beret?","ベレー帽の着用を手伝ってくれませんか？"
"knit-hat","Knit hat","ニット帽"
"knit-hat_2","I like wearing knit hat.","ニット帽が好きです。"
"knit-hat_3","Can you help me wear my knit hat?","ニット帽の着用を手伝ってくれませんか？"
"suspenders","Suspenders","サスペンダー"
"suspenders_2","I like wearing suspenders.","サスペンダーを着るのが好きです。"
"suspenders_3","Can you help me wear my suspenders?","サスペンダーの着用を手伝ってくれませんか？"
"mitten","Mitten","ミトン"
"mitten_2","I like wearing mitten.","ミトンを着るのが好きです。"
"mitten_3","Can you help me wear my mitten?","ミトンの着用を手伝ってくれませんか？"
"suit","Suit","スーツ"
"suit_2","I like wearing suit.","スーツを着るのが好きです。"
"suit_3","Can you help me wear my suit?","スーツの着用を手伝ってくれませんか？"
"coat","Coat","コート"
"coat_2","I like wearing coat.","コートを着るのが好きです。"
"coat_3","Can you help me wear my coat?","上着の着用を手伝ってもらえますか？"
"trench-coat","Trench coat","トレンチコート"
"trench-coat_2","I like wearing trench coat.","トレンチコートが好きです。"
"trench-coat_3","Can you help me wear my trench coat?","トレンチコートの着用を手伝ってもらえますか？"
"colors","Colors","色"
"crayons","Crayons","クレヨン"
"crayons_2","I like crayons.","クレヨンが好きです。"
"crayons_3","Can you give me crayons?","クレヨンをくれませんか？"
"crayons_4","I want to draw using my crayons.","クレヨンで描いてみたいです。"
"red","Red","赤"
"red_2","It is red.","それは赤いです。"
"red_3","My favorite color is red.","私の好きな色は赤です。"
"red_4","Can you give me red paint?","赤いペンキをください。"
"blue","Blue","青い"
"blue_2","It is blue.","青いです。"
"blue_3","My favorite color is blue.","私の好きな色は青です。"
"blue_4","Can you give me blue paint?","青い絵の具をください。"
"orange","Orange","オレンジ"
"orange_2","It is orange color.","オレンジ色です。"
"orange_3","My favorite color is orange.","私の好きな色はオレンジです。"
"orange_4","Can you give me orange paint?","オレンジ色のペンキをください。"
"green","Green","緑"
"green_2","It is green.","それは緑色です。"
"green_3","My favorite color is green.","私の好きな色は緑色です。"
"green_4","Can you give me green paint?","緑のペンキをください。"
"yellow","Yellow","黄"
"yellow_2","It is yellow.","黄色です。"
"yellow_3","My favorite color is yellow.","私の好きな色は黄色です。"
"yellow_4","Can you give me yellow paint?","黄色のペンキをください。"
"purple","Purple","紫の"
"purple_2","It is purple.","紫です。"
"purple_3","My favorite color is purple.","好きな色は紫です。"
"purple_4","Can you give me purple paint?","紫色の塗料をください。"
"pink","Pink","ピンク"
"pink_2","It is pink.","ピンクです。"
"pink_3","My favorite color is pink.","私の好きな色はピンクです。"
"pink_4","Can you give me pink paint?","ピンクのペンキをください。"
"brown","Brown","褐色"
"brown_2","It is brown.","それは茶色です。"
"brown_3","My favorite color is brown.","私の好きな色は茶色です。"
"brown_4","Can you give me brown paint?","茶色のペンキをください。"
"black","Black","ブラック"
"black_2","It is black.","黒です。"
"black_3","My favorite color is black.","私の好きな色は黒です。"
"black_4","Can you give me black paint?","黒い絵の具をください。"
"white","White","白い"
"white_2","It is white.","それは白い。"
"white_3","My favorite color is white.","私の好きな色は白です。"
"white_4","Can you give me white paint?","白いペンキをくれませんか。"
"gray","Gray","グレー"
"gray_2","It is gray.","灰色です。"
"gray_3","My favorite color is gray.","好きな色はグレーです。"
"gray_4","Can you give me gray paint?","灰色のペンキをください。"
"transparent","Transparent","トランスペアレント"
"transparent_2","It is transparent.","透明です。"
"transparent_3","I can see behind transparent color.","後ろの透明色が見えます。"
"transparent_4","Can you help me erase?","消去してくれませんか？"
"cyan","Cyan","シアン"
"cyan_2","It is cyan.","シアンです。"
"cyan_3","My favorite color is cyan.","私の好きな色はシアンです。"
"cyan_4","Can you give me cyan paint?","シアンの絵の具をください。"
"violet","Violet","バイオレット"
"violet_2","It is violet.","すみれ色です。"
"violet_3","My favorite color is violet.","私の好きな色は紫です。"
"violet_4","Can you give me violet paint?","すみれ色の塗料をください。"
"turquoise","Turquoise","ターコイズ"
"turquoise_2","It is turquoise.","ターコイズです。"
"turquoise_3","My favorite color is turquoise.","私の好きな色はターコイズです。"
"turquoise_4","Can you give me turquoise paint?","ターコイズのペンキをください。"
"lime","Lime","ライム"
"lime_2","It is lime.","ライムです。"
"lime_3","My favorite color is lime.","私の好きな色はライムです。"
"lime_4","Can you give me lime paint?","ライムペンキをください。"
"plum","Plum","梅"
"plum_2","It is plum.","梅です。"
"plum_3","My favorite color is plum.","好きな色は梅です。"
"plum_4","Can you give me plum paint?","梅の絵の具を頂けますか？"
"tan","Tan","タン"
"tan_2","It is tan color.","タンカラーです。"
"tan_3","My favorite color is tan color.","私の好きな色は黄褐色です。"
"tan_4","Can you give me tan color paint?","日焼けカラーペイントを頂けますか？"
"avocado","Avocado","アボカド"
