"Leeloo", "لیلو"
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "جب آپ ہم سے اپنا ڈیٹا ہٹانے کو کہتے ہیں تو ، ہم آپ کا اکاؤنٹ اور کوئی بھی ڈیٹا ہم آپ یا آپ کے بچے کے بارے میں اکٹھا کردیں گے۔ اگر آپ کے پاس خریداری موجود ہے تو ، اس کو ختم کردیا جائے گا۔ اور ہٹا دیا گیا ڈیٹا بازیافت نہیں ہوگا۔"
"I understand, remove my data.", "میں سمجھتا ہوں ، میرا ڈیٹا ہٹا دیں۔"
"Parents Only", "صرف والدین"
"Drag and drop the key over padlock in order to unlock the Settings", "ترتیبات کو غیر مقفل کرنے کے ل the کلید کو اوور پیڈ لاک کو کھینچ کر چھوڑیں"
"Create a profile!", "ایک پروفائل بنائیں!"
"Choose a profile name or tell us the person who is going to use this application.", "ایک پروفائل نام منتخب کریں یا ہمیں وہ شخص بتائیں جو اس ایپلی کیشن کو استعمال کر رہا ہے۔"
"Your Name", "تمھارا نام"
"Choose an avatar!", "اوتار کا انتخاب کریں!"
"Choose an avatar for the person who is going to use this AAC application.", "اس شخص کے لئے اوتار کا انتخاب کریں جو یہ AAC ایپلی کیشن استعمال کرے گا۔"
"Boy", "لڑکا"
"Girl", "لڑکی"
"Mixed", "ملا ہوا"
"Congratulations, $1!", "مبارک ہو ، $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "آپ کا صارف پروفائل مکمل ہوچکا ہے۔ آپ لیلو اے اے سی ایپ کا استعمال شروع کرسکتے ہیں"
"Welcome to", "میں خوش آمدید"
"Leeloo AAC", "لیلو اے اے سی"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "لیلو اے اے سی ڈاؤن لوڈ کرنے کے لئے آپ کا شکریہ ، آئیے اپنا لیلو پروفائل ترتیب دینے کے ساتھ شروع کریں۔"
"View other sign in options", "سائن ان کے دوسرے اختیارات دیکھیں"
"Who is using the app?", "کون ایپ استعمال کر رہا ہے؟"
"Search cards and phrases...", "کارڈز اور فقرے تلاش کریں…"
"Unlock Leeloo Premium!", "لیلو پریمیم انلاک کریں!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "لیلو اے اے سی کی فعالیت ہمیشہ آزاد رہے گی۔ لیلو پریمیم +50 اضافی اسسٹیٹو کارڈ پیک پیش کرتا ہے۔"
"Monthly", "ماہانہ"
"Try 3 days for FREE", "مفت کے لئے 3 دن کی کوشش کریں"
"Then $1/year", "پھر $1 / سال"
"Lifetime", "زندگی بھر"
"One-time Payment", "ایک وقت کی ادائیگی"
"SAVE $1%", "$1٪ کو محفوظ کریں"
"$1/mo", "$1 / mo"
"See the packs you will unlock", "وہ پیک دیکھیں جو آپ کھولیں گے"
"Scroll the cards right to see all of the premium assistive cards.", "پریمیم کے تمام معاون کارڈز دیکھنے کے لئے کارڈز کو دائیں سکرال کریں۔"
"$1 cards", "$1 کارڈز"
"$1 phrases", "$1 جملے"
"Start 3 days FREE Trial", "3 دن کا مفت ٹرائل شروع کریں"
"Cancel anytime without cost", "بغیر کسی لاگت کے کسی بھی وقت منسوخ کریں"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "3 سال کے لئے مفت آزمائش صرف سالانہ منصوبے اور اس وقت کے دوران خوش۔ آپ بغیر کسی لاگت کے اپنا رکنیت منسوخ کرسکتے ہیں۔"
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "یقینی بنائیں کہ بیچنے والے کے پلیٹ فارم کی شرائط و ضوابط کا جائزہ لینے سے پہلے ، اگر آپ کو کوئی پریشانی ہے یا کوئی مسئلہ ہے تو ہم سے رابطہ کریں اور ہم آپ کو جو بھی پریشانی درپیش ہیں ان کو حل کرنے کے لئے ہم ہر ممکن کوشش کریں گے۔"
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "ماہانہ اور سالانہ منصوبے بار بار چلنے والے منصوبے ہیں اور لائف ٹائم پلان ایک وقت کی ادائیگی کا منصوبہ ہے ، خریداریوں کے ل unless ، جب تک کہ آٹو تجدید بند نہیں کی جاتی ہے ، موجودہ مدت ختم ہونے پر آپ سے مدت قیمت وصول کی جائے گی۔"
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "ذہن میں رکھو کہ رقم کی واپسی کو پلیٹ فارم کے ذریعہ سنبھالا جاتا ہے اور واپسی کے اوقات اور پالیسیاں پلیٹ فارم اور مارکیٹ کے لحاظ سے مختلف ہوسکتی ہیں جن سے آپ سبسکرائب کررہے ہیں۔"
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "براہ کرم ہمیں اسی دن حادثاتی خریداریوں کی اطلاع دیں یا کم از کم 24 گھنٹوں میں ایپ کی ترتیبات میں 'تاثرات بھیجیں' صفحے کا استعمال کریں۔"
"Leeloo Premium", "لیلو پریمیم"
"Subscribe to get more", "مزید حاصل کرنے کے لئے سبسکرائب کریں"
"Try 3 days for free", "3 دن مفت میں آزمائیں"
"Next", "اگلے"
"Start", "شروع کریں"
"USE", "استعمال کریں"
"USING", "استعمال کرنا"
"ADD", "شامل کریں"
"REMOVE", "دور"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "آپ کا آلہ وائس ڈرائیور کو اس زبان کے ل support تعاون نہیں کرتا ہے۔ ٹی ٹی ایس صلاحیتوں کو استعمال کرنے کے ل you ، آپ کو ایک وائس ڈرائیور انسٹال کرنے کی ضرورت ہے۔ ڈرائیوروں کو انسٹال کرنے اور ان کا انتظام کرنے کے لئے آپ 'گوگل ٹی ٹی ایس' ایپ کو آزما سکتے ہیں!"
"Confirm Sign Out", "سائن آؤٹ کی تصدیق کریں"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "یاد رکھیں کہ آپ سائن ان کرسکتے ہیں ، اور ہر بار اپنے اکاؤنٹ سے سائن آؤٹ نہیں کرنا ہوگا۔"
"Remove Profile", "پروفائل کو ہٹا دیں"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "کیا آپ واقعی اس پروفائل کو ہٹانا چاہتے ہیں ، اس پروفائل کے ذریعہ تیار کردہ ڈیٹا بھی ہٹا دیا جائے گا۔"
"OK", "ٹھیک ہے"
"Cancel", "منسوخ کریں"
